anio,mes,VPU,fob_dolar,pos_ncm,sector,provincia,nombre_importador,primer_periodo,ultimo_periodo
2025,12,Vaca Muerta Oleoducto Sur (VMOS),89.66,8204.11.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Vaca Muerta Oleoducto Sur (VMOS),98.48,8467.29.92,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Vaca Muerta Oleoducto Sur (VMOS),24.2,8515.31.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Parque Solar El Quemado y Anexos,1026151.93,8504.23.00,Energía,Mendoza,RIGI - LUZ DEL CAMPO S. A.    ,202501,202607
2025,9,Vaca Muerta Oleoducto Sur (VMOS),84.41,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,9,Vaca Muerta Oleoducto Sur (VMOS),517728,8481.80.93,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,9,Proyecto Rincón,501.42,8482.50.10,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2025,9,Proyecto Rincón,24.66,4016.93.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2025,10,Proyecto Rincón,4340.53,8421.91.99,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2025,10,Proyecto Rincón,8276.46,8483.10.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2025,10,Proyecto Rincón,738.15,8484.20.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2025,10,Proyecto Rincón,2587,4016.93.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2025,10,Proyecto Rincón,4525.84,8483.10.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2025,10,Proyecto Rincón,468.39,8483.30.29,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2025,9,Parque Solar El Quemado y Anexos,169680,8479.89.99,Energía,Mendoza,RIGI - LUZ DEL CAMPO S. A.    ,202501,202607
2025,9,Parque Solar El Quemado y Anexos,1825.48,8536.41.00,Energía,Mendoza,RIGI - LUZ DEL CAMPO S. A.    ,202501,202607
2025,9,Parque Solar El Quemado y Anexos,7314.2,2812.90.00,Energía,Mendoza,RIGI - LUZ DEL CAMPO S. A.    ,202501,202607
2025,9,Vaca Muerta Oleoducto Sur (VMOS),817080,8481.80.93,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,9,Vaca Muerta Oleoducto Sur (VMOS),198.64,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,9,Vaca Muerta Oleoducto Sur (VMOS),322252,8481.80.93,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Vaca Muerta Oleoducto Sur (VMOS),2074,7309.00.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Vaca Muerta Oleoducto Sur (VMOS),32688.05,8544.49.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Vaca Muerta Oleoducto Sur (VMOS),5193.8,7306.19.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Vaca Muerta Oleoducto Sur (VMOS),48.9,4205.00.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Parque Eólico Olavarría,249447.21,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
