anio,sector,subsector,monto_mill_usd,sector_total_mill_usd,total_anual_mill_usd,fuente
2031,Petróleo y Gas,Midstream,685,915,2418,https://www.argentina.gob.ar/economia/rigi
2031,Petróleo y Gas,Upstream,230,915,2418,https://www.argentina.gob.ar/economia/rigi
2031,Siderurgia,Siderurgia,0,0,2418,https://www.argentina.gob.ar/economia/rigi
2032,Energía Eléctrica,Energía Eléctrica,0,0,1374,https://www.argentina.gob.ar/economia/rigi
2032,Infraestructura,Puerto,0,0,1374,https://www.argentina.gob.ar/economia/rigi
2032,Minería,Cobre,11,416,1374,https://www.argentina.gob.ar/economia/rigi
2032,Minería,Litio,384,416,1374,https://www.argentina.gob.ar/economia/rigi
2032,Minería,Oro y Plata,21,416,1374,https://www.argentina.gob.ar/economia/rigi
2032,Petróleo y Gas,Midstream,685,958,1374,https://www.argentina.gob.ar/economia/rigi
2032,Petróleo y Gas,Upstream,273,958,1374,https://www.argentina.gob.ar/economia/rigi
2032,Siderurgia,Siderurgia,0,0,1374,https://www.argentina.gob.ar/economia/rigi
2033,Energía Eléctrica,Energía Eléctrica,0,0,1058,https://www.argentina.gob.ar/economia/rigi
2033,Infraestructura,Puerto,0,0,1058,https://www.argentina.gob.ar/economia/rigi
2033,Minería,Cobre,16,105,1058,https://www.argentina.gob.ar/economia/rigi
2033,Minería,Litio,75,105,1058,https://www.argentina.gob.ar/economia/rigi
2033,Minería,Oro y Plata,14,105,1058,https://www.argentina.gob.ar/economia/rigi
2033,Petróleo y Gas,Midstream,689,953,1058,https://www.argentina.gob.ar/economia/rigi
2033,Petróleo y Gas,Upstream,264,953,1058,https://www.argentina.gob.ar/economia/rigi
2033,Siderurgia,Siderurgia,0,0,1058,https://www.argentina.gob.ar/economia/rigi
2034,Energía Eléctrica,Energía Eléctrica,0,0,1026,https://www.argentina.gob.ar/economia/rigi
2034,Infraestructura,Puerto,0,0,1026,https://www.argentina.gob.ar/economia/rigi
2034,Minería,Cobre,12,30,1026,https://www.argentina.gob.ar/economia/rigi
2034,Minería,Litio,0,30,1026,https://www.argentina.gob.ar/economia/rigi
2034,Minería,Oro y Plata,18,30,1026,https://www.argentina.gob.ar/economia/rigi
2034,Petróleo y Gas,Midstream,693,996,1026,https://www.argentina.gob.ar/economia/rigi
2034,Petróleo y Gas,Upstream,303,996,1026,https://www.argentina.gob.ar/economia/rigi
2034,Siderurgia,Siderurgia,0,0,1026,https://www.argentina.gob.ar/economia/rigi
2035,Energía Eléctrica,Energía Eléctrica,0,0,1001,https://www.argentina.gob.ar/economia/rigi
2035,Infraestructura,Puerto,0,0,1001,https://www.argentina.gob.ar/economia/rigi
2035,Minería,Cobre,30,52,1001,https://www.argentina.gob.ar/economia/rigi
2035,Minería,Litio,0,52,1001,https://www.argentina.gob.ar/economia/rigi
2035,Minería,Oro y Plata,22,52,1001,https://www.argentina.gob.ar/economia/rigi
2035,Petróleo y Gas,Midstream,698,949,1001,https://www.argentina.gob.ar/economia/rigi
2035,Petróleo y Gas,Upstream,251,949,1001,https://www.argentina.gob.ar/economia/rigi
2035,Siderurgia,Siderurgia,0,0,1001,https://www.argentina.gob.ar/economia/rigi
2036,Energía Eléctrica,Energía Eléctrica,0,0,889,https://www.argentina.gob.ar/economia/rigi
2036,Infraestructura,Puerto,0,0,889,https://www.argentina.gob.ar/economia/rigi
2036,Minería,Cobre,14,31,889,https://www.argentina.gob.ar/economia/rigi
2036,Minería,Litio,0,31,889,https://www.argentina.gob.ar/economia/rigi
2036,Minería,Oro y Plata,17,31,889,https://www.argentina.gob.ar/economia/rigi
2036,Petróleo y Gas,Midstream,702,858,889,https://www.argentina.gob.ar/economia/rigi
2036,Petróleo y Gas,Upstream,156,858,889,https://www.argentina.gob.ar/economia/rigi
2036,Siderurgia,Siderurgia,0,0,889,https://www.argentina.gob.ar/economia/rigi
2037,Energía Eléctrica,Energía Eléctrica,0,0,894,https://www.argentina.gob.ar/economia/rigi
2037,Infraestructura,Puerto,0,0,894,https://www.argentina.gob.ar/economia/rigi
2037,Minería,Cobre,11,32,894,https://www.argentina.gob.ar/economia/rigi
2037,Minería,Litio,0,32,894,https://www.argentina.gob.ar/economia/rigi
2037,Minería,Oro y Plata,21,32,894,https://www.argentina.gob.ar/economia/rigi
2037,Petróleo y Gas,Midstream,706,862,894,https://www.argentina.gob.ar/economia/rigi
2037,Petróleo y Gas,Upstream,156,862,894,https://www.argentina.gob.ar/economia/rigi
2037,Siderurgia,Siderurgia,0,0,894,https://www.argentina.gob.ar/economia/rigi
2038,Energía Eléctrica,Energía Eléctrica,0,0,896,https://www.argentina.gob.ar/economia/rigi
2038,Infraestructura,Puerto,0,0,896,https://www.argentina.gob.ar/economia/rigi
2038,Minería,Cobre,11,29,896,https://www.argentina.gob.ar/economia/rigi
2038,Minería,Litio,0,29,896,https://www.argentina.gob.ar/economia/rigi
2038,Minería,Oro y Plata,18,29,896,https://www.argentina.gob.ar/economia/rigi
2038,Petróleo y Gas,Midstream,711,867,896,https://www.argentina.gob.ar/economia/rigi
2038,Petróleo y Gas,Upstream,156,867,896,https://www.argentina.gob.ar/economia/rigi
2038,Siderurgia,Siderurgia,0,0,896,https://www.argentina.gob.ar/economia/rigi
2039,Energía Eléctrica,Energía Eléctrica,0,0,903,https://www.argentina.gob.ar/economia/rigi
2039,Infraestructura,Puerto,0,0,903,https://www.argentina.gob.ar/economia/rigi
2039,Minería,Cobre,13,31,903,https://www.argentina.gob.ar/economia/rigi
2039,Minería,Litio,0,31,903,https://www.argentina.gob.ar/economia/rigi
2039,Minería,Oro y Plata,18,31,903,https://www.argentina.gob.ar/economia/rigi
2039,Petróleo y Gas,Midstream,716,872,903,https://www.argentina.gob.ar/economia/rigi
2039,Petróleo y Gas,Upstream,156,872,903,https://www.argentina.gob.ar/economia/rigi
2039,Siderurgia,Siderurgia,0,0,903,https://www.argentina.gob.ar/economia/rigi
2040,Energía Eléctrica,Energía Eléctrica,0,0,901,https://www.argentina.gob.ar/economia/rigi
2040,Infraestructura,Puerto,0,0,901,https://www.argentina.gob.ar/economia/rigi
2040,Minería,Cobre,11,25,901,https://www.argentina.gob.ar/economia/rigi
2040,Minería,Litio,0,25,901,https://www.argentina.gob.ar/economia/rigi
2040,Minería,Oro y Plata,14,25,901,https://www.argentina.gob.ar/economia/rigi
2040,Petróleo y Gas,Midstream,720,876,901,https://www.argentina.gob.ar/economia/rigi
2040,Petróleo y Gas,Upstream,156,876,901,https://www.argentina.gob.ar/economia/rigi
2040,Siderurgia,Siderurgia,0,0,901,https://www.argentina.gob.ar/economia/rigi
2041,Energía Eléctrica,Energía Eléctrica,0,0,908,https://www.argentina.gob.ar/economia/rigi
2041,Infraestructura,Puerto,0,0,908,https://www.argentina.gob.ar/economia/rigi
2041,Minería,Cobre,11,27,908,https://www.argentina.gob.ar/economia/rigi
2041,Minería,Litio,0,27,908,https://www.argentina.gob.ar/economia/rigi
2041,Minería,Oro y Plata,16,27,908,https://www.argentina.gob.ar/economia/rigi
2041,Petróleo y Gas,Midstream,725,881,908,https://www.argentina.gob.ar/economia/rigi
2041,Petróleo y Gas,Upstream,156,881,908,https://www.argentina.gob.ar/economia/rigi
2041,Siderurgia,Siderurgia,0,0,908,https://www.argentina.gob.ar/economia/rigi
2042,Energía Eléctrica,Energía Eléctrica,0,0,760,https://www.argentina.gob.ar/economia/rigi
2042,Infraestructura,Puerto,0,0,760,https://www.argentina.gob.ar/economia/rigi
2042,Minería,Cobre,11,30,760,https://www.argentina.gob.ar/economia/rigi
2042,Minería,Litio,0,30,760,https://www.argentina.gob.ar/economia/rigi
2042,Minería,Oro y Plata,19,30,760,https://www.argentina.gob.ar/economia/rigi
2042,Petróleo y Gas,Midstream,730,730,760,https://www.argentina.gob.ar/economia/rigi
2042,Petróleo y Gas,Upstream,0,730,760,https://www.argentina.gob.ar/economia/rigi
2042,Siderurgia,Siderurgia,0,0,760,https://www.argentina.gob.ar/economia/rigi
2043,Energía Eléctrica,Energía Eléctrica,0,0,808,https://www.argentina.gob.ar/economia/rigi
2043,Infraestructura,Puerto,0,0,808,https://www.argentina.gob.ar/economia/rigi
2043,Minería,Cobre,11,73,808,https://www.argentina.gob.ar/economia/rigi
2043,Minería,Litio,0,73,808,https://www.argentina.gob.ar/economia/rigi
2043,Minería,Oro y Plata,62,73,808,https://www.argentina.gob.ar/economia/rigi
2043,Petróleo y Gas,Midstream,735,735,808,https://www.argentina.gob.ar/economia/rigi
2043,Petróleo y Gas,Upstream,0,735,808,https://www.argentina.gob.ar/economia/rigi
2043,Siderurgia,Siderurgia,0,0,808,https://www.argentina.gob.ar/economia/rigi
2044,Energía Eléctrica,Energía Eléctrica,0,0,834,https://www.argentina.gob.ar/economia/rigi
2044,Infraestructura,Puerto,0,0,834,https://www.argentina.gob.ar/economia/rigi
2044,Minería,Cobre,67,94,834,https://www.argentina.gob.ar/economia/rigi
2044,Minería,Litio,0,94,834,https://www.argentina.gob.ar/economia/rigi
2044,Minería,Oro y Plata,27,94,834,https://www.argentina.gob.ar/economia/rigi
2044,Petróleo y Gas,Midstream,740,740,834,https://www.argentina.gob.ar/economia/rigi
2044,Petróleo y Gas,Upstream,0,740,834,https://www.argentina.gob.ar/economia/rigi
2044,Siderurgia,Siderurgia,0,0,834,https://www.argentina.gob.ar/economia/rigi
2045,Energía Eléctrica,Energía Eléctrica,0,0,773,https://www.argentina.gob.ar/economia/rigi
2045,Infraestructura,Puerto,0,0,773,https://www.argentina.gob.ar/economia/rigi
2045,Minería,Cobre,1,28,773,https://www.argentina.gob.ar/economia/rigi
2045,Minería,Litio,0,28,773,https://www.argentina.gob.ar/economia/rigi
2045,Minería,Oro y Plata,27,28,773,https://www.argentina.gob.ar/economia/rigi
2045,Petróleo y Gas,Midstream,745,745,773,https://www.argentina.gob.ar/economia/rigi
2045,Petróleo y Gas,Upstream,0,745,773,https://www.argentina.gob.ar/economia/rigi
2045,Siderurgia,Siderurgia,0,0,773,https://www.argentina.gob.ar/economia/rigi
2046,Energía Eléctrica,Energía Eléctrica,0,0,779,https://www.argentina.gob.ar/economia/rigi
2046,Infraestructura,Puerto,0,0,779,https://www.argentina.gob.ar/economia/rigi
2046,Minería,Cobre,1,28,779,https://www.argentina.gob.ar/economia/rigi
2046,Minería,Litio,0,28,779,https://www.argentina.gob.ar/economia/rigi
2046,Minería,Oro y Plata,27,28,779,https://www.argentina.gob.ar/economia/rigi
2046,Petróleo y Gas,Midstream,751,751,779,https://www.argentina.gob.ar/economia/rigi
2046,Petróleo y Gas,Upstream,0,751,779,https://www.argentina.gob.ar/economia/rigi
2046,Siderurgia,Siderurgia,0,0,779,https://www.argentina.gob.ar/economia/rigi
2047,Energía Eléctrica,Energía Eléctrica,0,0,765,https://www.argentina.gob.ar/economia/rigi
2047,Infraestructura,Puerto,0,0,765,https://www.argentina.gob.ar/economia/rigi
2047,Minería,Cobre,1,8,765,https://www.argentina.gob.ar/economia/rigi
2047,Minería,Litio,0,8,765,https://www.argentina.gob.ar/economia/rigi
2047,Minería,Oro y Plata,7,8,765,https://www.argentina.gob.ar/economia/rigi
2047,Petróleo y Gas,Midstream,757,757,765,https://www.argentina.gob.ar/economia/rigi
2047,Petróleo y Gas,Upstream,0,757,765,https://www.argentina.gob.ar/economia/rigi
2047,Siderurgia,Siderurgia,0,0,765,https://www.argentina.gob.ar/economia/rigi
2048,Energía Eléctrica,Energía Eléctrica,0,0,444,https://www.argentina.gob.ar/economia/rigi
2048,Infraestructura,Puerto,0,0,444,https://www.argentina.gob.ar/economia/rigi
2048,Minería,Cobre,1,8,444,https://www.argentina.gob.ar/economia/rigi
2048,Minería,Litio,0,8,444,https://www.argentina.gob.ar/economia/rigi
2048,Minería,Oro y Plata,7,8,444,https://www.argentina.gob.ar/economia/rigi
2048,Petróleo y Gas,Midstream,436,436,444,https://www.argentina.gob.ar/economia/rigi
2048,Petróleo y Gas,Upstream,0,436,444,https://www.argentina.gob.ar/economia/rigi
2048,Siderurgia,Siderurgia,0,0,444,https://www.argentina.gob.ar/economia/rigi
2049,Energía Eléctrica,Energía Eléctrica,0,0,8,https://www.argentina.gob.ar/economia/rigi
2049,Infraestructura,Puerto,0,0,8,https://www.argentina.gob.ar/economia/rigi
2049,Minería,Cobre,1,8,8,https://www.argentina.gob.ar/economia/rigi
2049,Minería,Litio,0,8,8,https://www.argentina.gob.ar/economia/rigi
2049,Minería,Oro y Plata,7,8,8,https://www.argentina.gob.ar/economia/rigi
2049,Petróleo y Gas,Midstream,0,0,8,https://www.argentina.gob.ar/economia/rigi
2049,Petróleo y Gas,Upstream,0,0,8,https://www.argentina.gob.ar/economia/rigi
2049,Siderurgia,Siderurgia,0,0,8,https://www.argentina.gob.ar/economia/rigi
2050,Energía Eléctrica,Energía Eléctrica,0,0,8,https://www.argentina.gob.ar/economia/rigi
2050,Infraestructura,Puerto,0,0,8,https://www.argentina.gob.ar/economia/rigi
2050,Minería,Cobre,1,8,8,https://www.argentina.gob.ar/economia/rigi
2050,Minería,Litio,0,8,8,https://www.argentina.gob.ar/economia/rigi
2050,Minería,Oro y Plata,7,8,8,https://www.argentina.gob.ar/economia/rigi
2050,Petróleo y Gas,Midstream,0,0,8,https://www.argentina.gob.ar/economia/rigi
2050,Petróleo y Gas,Upstream,0,0,8,https://www.argentina.gob.ar/economia/rigi
2050,Siderurgia,Siderurgia,0,0,8,https://www.argentina.gob.ar/economia/rigi
2051,Energía Eléctrica,Energía Eléctrica,0,0,8,https://www.argentina.gob.ar/economia/rigi
2051,Infraestructura,Puerto,0,0,8,https://www.argentina.gob.ar/economia/rigi
2051,Minería,Cobre,1,8,8,https://www.argentina.gob.ar/economia/rigi
2051,Minería,Litio,0,8,8,https://www.argentina.gob.ar/economia/rigi
2051,Minería,Oro y Plata,7,8,8,https://www.argentina.gob.ar/economia/rigi
2051,Petróleo y Gas,Midstream,0,0,8,https://www.argentina.gob.ar/economia/rigi
2051,Petróleo y Gas,Upstream,0,0,8,https://www.argentina.gob.ar/economia/rigi
2051,Siderurgia,Siderurgia,0,0,8,https://www.argentina.gob.ar/economia/rigi
2052,Energía Eléctrica,Energía Eléctrica,0,0,8,https://www.argentina.gob.ar/economia/rigi
2052,Infraestructura,Puerto,0,0,8,https://www.argentina.gob.ar/economia/rigi
2052,Minería,Cobre,1,8,8,https://www.argentina.gob.ar/economia/rigi
2052,Minería,Litio,0,8,8,https://www.argentina.gob.ar/economia/rigi
2052,Minería,Oro y Plata,7,8,8,https://www.argentina.gob.ar/economia/rigi
2052,Petróleo y Gas,Midstream,0,0,8,https://www.argentina.gob.ar/economia/rigi
2052,Petróleo y Gas,Upstream,0,0,8,https://www.argentina.gob.ar/economia/rigi
2052,Siderurgia,Siderurgia,0,0,8,https://www.argentina.gob.ar/economia/rigi
2053,Energía Eléctrica,Energía Eléctrica,0,0,8,https://www.argentina.gob.ar/economia/rigi
2053,Infraestructura,Puerto,0,0,8,https://www.argentina.gob.ar/economia/rigi
2053,Minería,Cobre,1,8,8,https://www.argentina.gob.ar/economia/rigi
2053,Minería,Litio,0,8,8,https://www.argentina.gob.ar/economia/rigi
2053,Minería,Oro y Plata,7,8,8,https://www.argentina.gob.ar/economia/rigi
2053,Petróleo y Gas,Midstream,0,0,8,https://www.argentina.gob.ar/economia/rigi
2053,Petróleo y Gas,Upstream,0,0,8,https://www.argentina.gob.ar/economia/rigi
2053,Siderurgia,Siderurgia,0,0,8,https://www.argentina.gob.ar/economia/rigi
2054,Energía Eléctrica,Energía Eléctrica,0,0,8,https://www.argentina.gob.ar/economia/rigi
2054,Infraestructura,Puerto,0,0,8,https://www.argentina.gob.ar/economia/rigi
2054,Minería,Cobre,1,8,8,https://www.argentina.gob.ar/economia/rigi
2054,Minería,Litio,0,8,8,https://www.argentina.gob.ar/economia/rigi
2054,Minería,Oro y Plata,7,8,8,https://www.argentina.gob.ar/economia/rigi
2054,Petróleo y Gas,Midstream,0,0,8,https://www.argentina.gob.ar/economia/rigi
2054,Petróleo y Gas,Upstream,0,0,8,https://www.argentina.gob.ar/economia/rigi
2054,Siderurgia,Siderurgia,0,0,8,https://www.argentina.gob.ar/economia/rigi
2055,Energía Eléctrica,Energía Eléctrica,0,0,7,https://www.argentina.gob.ar/economia/rigi
2055,Infraestructura,Puerto,0,0,7,https://www.argentina.gob.ar/economia/rigi
2055,Minería,Cobre,0,7,7,https://www.argentina.gob.ar/economia/rigi
2055,Minería,Litio,0,7,7,https://www.argentina.gob.ar/economia/rigi
2055,Minería,Oro y Plata,7,7,7,https://www.argentina.gob.ar/economia/rigi
2055,Petróleo y Gas,Midstream,0,0,7,https://www.argentina.gob.ar/economia/rigi
2055,Petróleo y Gas,Upstream,0,0,7,https://www.argentina.gob.ar/economia/rigi
2055,Siderurgia,Siderurgia,0,0,7,https://www.argentina.gob.ar/economia/rigi
2056,Energía Eléctrica,Energía Eléctrica,0,0,44,https://www.argentina.gob.ar/economia/rigi
2056,Infraestructura,Puerto,0,0,44,https://www.argentina.gob.ar/economia/rigi
2056,Minería,Cobre,0,44,44,https://www.argentina.gob.ar/economia/rigi
2056,Minería,Litio,0,44,44,https://www.argentina.gob.ar/economia/rigi
2056,Minería,Oro y Plata,44,44,44,https://www.argentina.gob.ar/economia/rigi
2056,Petróleo y Gas,Midstream,0,0,44,https://www.argentina.gob.ar/economia/rigi
2056,Petróleo y Gas,Upstream,0,0,44,https://www.argentina.gob.ar/economia/rigi
2056,Siderurgia,Siderurgia,0,0,44,https://www.argentina.gob.ar/economia/rigi
